CustomerID,Recommended_CustomerID,Similarity_Score
C0001,C0137,0.9896616649928707
C0001,C0152,0.9867256388142016
C0001,C0191,0.9803355370678468
C0002,C0043,0.9906196008141244
C0002,C0027,0.9777949995900282
C0002,C0142,0.9754480893099104
C0003,C0025,0.9554819470092886
C0003,C0112,0.9452613419489219
C0003,C0190,0.9408400842006179
C0004,C0113,0.9791073217215694
C0004,C0108,0.9789665607613536
C0004,C0165,0.976775158821118
C0005,C0128,0.9937101033122371
C0005,C0123,0.989537944676125
C0005,C0080,0.9859693091198835
C0006,C0158,0.9372847139923138
C0006,C0168,0.9341040277471828
C0006,C0048,0.9238429226679711
C0007,C0092,0.9871802624156883
C0007,C0078,0.986357538479544
C0007,C0146,0.9719405354218337
C0008,C0109,0.9771187619434956
C0008,C0098,0.9227596488672917
C0008,C0194,0.9189169952707965
C0009,C0061,0.9536927487893314
C0009,C0167,0.9358095033428038
C0009,C0132,0.9284946391037875
C0010,C0121,0.9923975464178083
C0010,C0111,0.9685852323961297
C0010,C0060,0.9537830279357039
C0011,C0107,0.9866566649341314
C0011,C0137,0.9769783420306408
C0011,C0001,0.9612483947576708
C0012,C0108,0.9880817397056049
C0012,C0102,0.9699970869555242
C0012,C0153,0.9648709983167448
C0013,C0104,0.9910882242935036
C0013,C0188,0.9867934414623115
C0013,C0099,0.9857348385373803
C0014,C0063,0.9835781516210969
C0014,C0062,0.9689444882137888
C0014,C0197,0.952928893769932
C0015,C0058,0.9932008895641166
C0015,C0131,0.9729461153138422
C0015,C0020,0.9446443540816172
C0016,C0079,0.9433115820274717
C0016,C0050,0.8924890278832273
C0016,C0185,0.8902103485306176
C0017,C0075,0.9803928721177666
C0017,C0124,0.945801092154318
C0017,C0041,0.8775023485980058
C0018,C0067,0.8114541571600451
C0018,C0046,0.7824649926772648
C0018,C0183,0.7704507329084879
C0019,C0172,0.9585190581686214
C0019,C0086,0.9140965917258647
C0019,C0119,0.8997131595616626
C0020,C0131,0.9529567758907306
C0020,C0015,0.9446443540816172
C0020,C0058,0.9226442484465872
